j,l,trajectory,M,S,D
152,1,"1 2 3 -2 4 -2 -3 4 -1 2 4 4",48,1,-128
153,1,"1 2 -1 4 -2 -4 -2 4 2 4 4 4",24,1,0
154,1,"1 2 3 -2 -3 2 4 -1 4 4 -2 4",48,1,-128
155,1,"1 4 2 4 4 4 2 4 -2 -2 -1 -4",24,1,-256
156,1,"1 2 3 3 -1 4 4 -2 4 4 -3 -3",48,1,-256
157,1,"1 2 -1 4 -2 3 -2 4 4 -3 2 4",48,1,0
158,1,"1 2 3 -4 -2 4 4 4 -1 4 -3 4",48,1,-128
159,1,"1 2 4 -2 -2 4 -2 -1 4 2 4 2",24,1,128
160,1,"1 2 3 -1 4 4 4 4 -3 -3 -2 3",48,1,-256
161,1,"1 1 4 1 4 -1 4 4 4 -1 -1 -4",6,1,-512
162,1,"1 2 1 2 -1 -2 -2 4 4 4 -1 4",24,1,-256
163,1,"1 2 4 -1 3 4 -3 -3 4 -2 4 3",48,1,0
164,1,"1 2 3 4 -2 -2 4 -3 4 2 -1 4",48,1,0
165,1,"1 2 -1 4 4 2 4 -2 4 4 -2 -4",24,1,-256
166,1,"1 2 3 4 4 2 -1 -2 -3 4 4 -2",24,1,-256
167,1,"1 2 -1 4 -2 -2 -1 4 4 2 1 4",24,1,256
168,1,"1 2 2 -1 4 1 -2 4 -1 4 -2 4",24,1,128
169,1,"1 2 4 3 -2 4 -3 -2 4 -1 2 4",24,1,128
170,1,"1 2 4 4 -2 -1 -4 -2 4 2 4 4",24,1,0
171,1,"1 2 4 -2 3 3 4 4 4 -1 -3 -3",48,1,256
172,1,"1 2 4 2 4 -2 -4 -1 4 4 -2 4",24,1,128
173,1,"1 2 3 2 4 -2 -1 4 4 4 -3 -2",48,1,128
174,1,"1 2 3 4 -3 -2 4 4 2 -1 -2 4",48,1,-128
175,1,"1 2 -1 4 2 1 -2 4 4 -1 -2 4",24,1,128
176,1,"1 2 4 4 4 4 3 -1 -3 -3 -2 3",48,1,-256
177,1,"1 2 4 -1 -4 -2 4 2 4 4 4 -2",24,1,-256
178,1,"1 2 2 4 3 4 -2 -3 -2 4 -1 4",48,1,128
179,1,"1 2 2 4 -1 -1 -2 4 4 -2 1 4",24,1,-256
180,1,"1 2 4 4 -1 4 4 2 -4 -2 -2 4",24,1,-256
181,1,"1 2 3 4 3 4 -3 4 -2 -3 -1 4",48,1,64
182,1,"1 2 3 -1 4 3 -2 -3 4 -3 4 4",48,1,0
183,1,"1 2 4 4 3 3 4 -2 -3 4 -1 -3",48,1,-128
184,1,"1 2 -1 4 -1 -2 -2 4 2 4 4 1",24,1,-256
185,1,"1 2 -1 -2 4 3 -2 4 -3 4 4 2",48,1,0
186,1,"1 2 2 -1 4 4 2 4 -2 -2 -2 4",24,1,0
187,1,"1 2 4 -2 -2 4 4 2 2 -1 4 -2",24,1,-256
188,1,"1 2 3 4 3 4 -1 -2 -3 4 -3 4",24,1,-64
189,1,"1 2 3 4 4 4 4 -3 -2 -3 -1 3",48,1,0
190,1,"1 2 3 -2 -2 -3 4 4 -1 4 2 4",48,1,-128
191,1,"1 2 -1 4 4 -2 3 2 -3 4 4 -2",24,1,128
192,1,"1 2 4 3 4 3 -2 4 -1 4 -3 -3",48,1,0
193,1,"1 2 -1 4 3 4 4 4 4 -2 -3 -4",48,1,-256
194,1,"1 4 -1 -4 2 2 4 4 -2 4 4 -2",24,1,256
195,1,"1 2 -1 -1 4 2 4 4 4 1 -2 -2",24,1,0
196,1,"1 2 3 4 -1 -2 4 2 4 -2 -3 4",48,1,-64
197,1,"1 2 2 2 -1 4 -2 -2 4 4 -2 4",24,1,0
