j,trajectory,M,S,D
2631,"1 2 3 4 -2 3 -4 -3 -1 -4 -3 4",384,1,-64
2632,"1 2 3 -2 3 4 4 -1 -4 -4 -3 -3",384,1,-256
2633,"1 2 3 4 3 -4 -3 -3 2 -1 -2 -2",384,1,0
2634,"1 2 3 4 4 -2 -3 -2 -1 -4 -4 2",192,1,-128
2635,"1 2 3 -1 4 3 4 -2 -4 -4 -3 -3",384,1,-128
2636,"1 2 3 4 -3 4 -1 3 -2 -4 -4 -3",384,1,-128
2637,"1 2 3 3 4 -3 -3 -1 4 -2 -4 -4",384,1,0
2638,"1 2 3 4 -1 4 3 -4 -3 -4 -3 -2",384,1,0
2639,"1 2 3 4 4 -1 3 -4 -3 -4 -2 -3",384,1,-128
2640,"1 2 3 4 -3 -4 -3 -4 -1 4 -2 3",384,1,64
2641,"1 2 3 -1 4 4 3 -4 -3 -3 -2 -4",192,1,256
2642,"1 2 3 -2 -3 4 3 4 -1 -3 -4 -4",384,1,0
2643,"1 2 3 4 4 -2 -1 2 -3 -2 -4 -4",192,1,-128
2644,"1 2 3 4 4 -2 3 -4 -4 -1 -3 -3",384,1,-256
2645,"1 2 3 4 -1 -3 -4 3 4 -2 -4 -3",384,1,64
2646,"1 2 3 4 -3 -4 -1 -2 4 3 -4 -3",96,1,-128
2647,"1 2 3 -2 3 4 4 -3 -3 -4 -1 -4",192,1,-128
2648,"1 2 3 4 -1 3 -2 4 -3 -4 -4 -3",384,1,0
2649,"1 2 3 -2 4 -3 -4 2 4 -1 -4 -2",192,1,128
2650,"1 2 3 4 -3 -2 -3 -4 3 2 -1 -2",192,1,128
2651,"1 2 3 4 -3 -4 3 4 -3 -2 -1 -4",192,1,128
2652,"1 2 3 4 -3 -4 -4 -1 2 4 -2 -2",384,1,128
2653,"1 2 3 4 -3 -4 3 -4 -3 4 -1 -2",384,1,-64
2654,"1 2 3 4 -3 4 -3 -4 -1 3 -2 -4",384,1,0
2655,"1 2 3 4 -1 4 3 -4 -4 -3 -3 -2",384,1,0
2656,"1 2 3 4 -3 -3 -4 -4 -1 4 -2 3",384,1,128
2657,"1 2 3 4 -3 -3 4 -2 -4 -4 -1 3",384,1,128
2658,"1 2 3 4 -3 -2 -2 -1 4 2 -4 -4",384,1,0
2659,"1 2 3 4 -3 4 -2 -4 2 -1 -4 -2",384,1,64
2660,"1 2 3 4 2 4 -2 -3 -2 -1 -4 -4",384,1,-128
2661,"1 2 3 4 3 -1 -2 -4 -3 4 -3 -4",192,1,-64
2662,"1 2 3 4 -1 2 -4 -3 -4 -2 4 -2",384,1,-64
2663,"1 2 3 4 -2 -3 -3 -4 3 2 -1 -2",384,1,128
2664,"1 2 3 4 -2 -3 4 -3 -4 -1 -4 3",384,1,-64
2665,"1 2 3 4 -3 -3 4 3 -1 -4 -4 -2",384,1,-128
2666,"1 2 3 4 -3 -4 -1 4 3 -4 -3 -2",192,1,-128
2667,"1 2 3 4 -2 -4 -1 4 2 -4 -3 -2",192,1,-128
2668,"1 2 3 4 4 -3 -3 -4 -1 3 -2 -4",384,1,0
2669,"1 2 3 4 -2 -4 -3 2 4 -1 -4 -2",384,1,128
2670,"1 2 3 4 4 -2 -4 3 -1 -4 -3 -3",384,1,-128
2671,"1 2 3 4 -2 -2 -1 4 2 -3 -4 -4",384,1,-128
2672,"1 2 3 -2 4 -3 4 2 -4 -1 -4 -2",192,1,0
2673,"1 2 3 4 2 -3 -4 -2 -3 -1 3 -2",192,1,-128
2674,"1 2 3 4 -1 -3 -2 -4 3 4 -3 -4",384,1,128
2675,"1 2 3 4 3 -1 -4 -3 -4 -3 -2 4",384,1,-128
2676,"1 2 3 2 4 -2 -1 -4 -4 -3 4 -2",384,1,0
2677,"1 2 3 4 -3 4 3 -1 -2 -3 -4 -4",384,1,-128
2678,"1 2 3 4 -1 2 -3 -2 4 -2 -4 -4",384,1,-128
2679,"1 2 3 4 2 -1 -4 -3 -4 -2 4 -2",384,1,-64
2680,"1 2 3 4 -2 3 4 -3 -1 -4 -4 -3",384,1,0
2681,"1 2 3 4 -2 4 -3 -3 -4 -1 -4 3",192,1,-128
2682,"1 2 3 4 -1 -4 -3 4 3 -2 -3 -4",192,1,-64
2683,"1 2 3 4 -1 4 -3 -2 3 -4 -3 -4",384,1,-64
2684,"1 2 3 4 -1 -4 3 -2 -3 -4 -3 4",384,1,-64
2685,"1 2 3 4 2 -4 -2 -3 -1 3 -2 -3",384,1,-64
2686,"1 2 3 2 4 3 -4 -2 -2 -1 -3 -3",384,1,-256
2687,"1 2 3 4 -2 4 -1 -4 -2 -3 -4 2",384,1,0
2688,"1 2 3 4 -2 -4 -1 -4 2 -3 4 -2",384,1,0
2689,"1 2 3 -2 4 -3 4 2 -4 -4 -1 -2",384,1,0
2690,"1 2 3 4 3 -1 -4 -4 -3 -3 -2 4",384,1,-256
2691,"1 2 3 -1 -2 -2 4 3 -4 -3 -3 2",384,1,128
2692,"1 2 3 4 -3 4 -3 -1 3 -2 -4 -4",384,1,0
2693,"1 2 3 4 -3 4 -2 -4 2 -4 -1 -2",384,1,64
2694,"1 2 3 2 -3 4 4 -2 -4 -4 -1 -2",384,1,128
2695,"1 2 3 -1 3 4 -3 4 -2 -3 -4 -4",384,1,-128
2696,"1 2 3 4 -1 2 4 -3 -2 -4 -4 -2",384,1,0
2697,"1 2 3 4 4 -3 -2 -1 -3 -4 -4 3",96,1,-256
2698,"1 2 3 4 -1 3 -2 -3 4 -3 -4 -4",384,1,0
2699,"1 2 3 4 2 -4 -3 -3 -2 -1 3 -2",384,1,-128
2700,"1 2 3 4 3 4 -1 -3 -4 -4 -3 -2",384,1,-128
2701,"1 2 3 4 -2 4 -3 -1 -4 -3 -4 3",384,1,-64
2702,"1 2 3 4 3 -4 -1 4 -2 -3 -3 -4",384,1,-128
2703,"1 2 3 4 -3 -4 -4 -2 4 3 -1 -3",384,1,0
2704,"1 2 3 4 2 -1 -2 4 -2 -3 -4 -4",384,1,0
2705,"1 2 3 4 -2 4 -3 -4 3 -1 -3 -4",384,1,64
2706,"1 2 3 4 4 -2 3 -1 -3 -3 -4 -4",384,1,-256
2707,"1 2 3 4 -2 -1 2 -3 4 -2 -4 -4",384,1,0
2708,"1 2 3 4 -1 -2 4 2 -4 -3 -4 -2",384,1,64
2709,"1 2 3 4 -2 -2 3 -4 -3 -3 -1 2",384,1,-128
2710,"1 2 3 4 -2 -3 -3 -1 -4 -4 3 4",384,1,128
2711,"1 2 3 4 -3 4 -2 -4 -4 2 -1 -2",384,1,128
2712,"1 2 3 4 3 -1 -4 -3 4 -3 -2 -4",384,1,0
2713,"1 2 3 4 -1 -3 -4 -2 -4 -3 4 3",384,1,64
2714,"1 2 3 4 -2 4 -3 -1 -3 -4 -4 3",384,1,-128
2715,"1 2 3 4 2 -3 -1 -2 -3 -4 3 -2",192,1,64
2716,"1 2 3 2 4 -3 -4 -4 -2 4 -1 -2",384,1,0
2717,"1 2 3 4 -1 4 3 -4 -3 -2 -3 -4",192,1,64
2718,"1 2 3 4 -2 -3 -3 -4 3 -4 -1 4",384,1,128
2719,"1 2 3 4 3 -1 -3 -4 -3 4 -2 -4",384,1,-64
2720,"1 2 3 4 -2 -4 3 4 -3 -3 -1 -4",384,1,0
2721,"1 2 3 4 4 -3 -3 -4 -4 3 -1 -2",192,1,256
2722,"1 2 3 4 -3 4 -3 -4 -4 -1 -2 3",384,1,0
2723,"1 2 3 4 -2 -4 -2 -3 2 4 -1 -4",384,1,64
2724,"1 2 3 4 3 -4 -3 -1 -2 4 -3 -4",384,1,-64
2725,"1 2 3 4 -1 -2 4 2 -4 -4 -3 -2",384,1,128
2726,"1 2 3 4 -2 4 2 -3 -4 -4 -1 -2",384,1,0
2727,"1 2 3 4 -1 -4 2 4 -2 -3 -4 -2",384,1,0
2728,"1 2 3 4 4 -1 -3 -4 3 -4 -2 -3",384,1,0
2729,"1 2 3 4 -1 -3 -2 -4 -4 -3 4 3",384,1,128
2730,"1 2 3 4 -1 -3 -2 4 3 -4 -3 -4",384,1,0
2731,"1 2 3 4 -3 -2 3 -4 -3 -4 -1 4",384,1,64
2732,"1 2 3 4 -1 -4 -3 -4 -3 4 -2 3",384,1,-64
2733,"1 2 3 4 -2 4 -2 -3 2 -4 -1 -4",384,1,-64
2734,"1 2 3 3 4 -2 4 -3 -3 -1 -4 -4",384,1,-256
2735,"1 2 3 4 -3 -1 -4 -2 -4 -3 4 3",384,1,64
2736,"1 2 3 4 -3 -2 -4 -1 -4 -2 4 2",384,1,128
2737,"1 2 3 4 4 3 -4 -4 -1 -2 -3 -3",384,1,-256
2738,"1 2 3 -2 4 -1 -4 2 -4 -3 4 -2",192,1,-128
2739,"1 2 3 4 -1 4 3 -4 -3 -3 -2 -4",384,1,128
2740,"1 2 3 4 3 -4 -3 -1 -4 -3 -2 4",384,1,0
2741,"1 2 3 4 4 -1 -4 -3 -4 3 -2 -3",384,1,0
2742,"1 2 3 3 4 -2 -4 -3 -3 2 -1 -2",192,1,256
2743,"1 2 3 4 -3 -4 -2 -4 3 4 -1 -3",384,1,64
2744,"1 2 3 4 -3 -1 -2 3 -4 -4 -3 4",384,1,-128
2745,"1 2 3 4 -2 -4 -3 -4 -1 -3 4 3",384,1,64
2746,"1 2 3 4 -2 -3 -4 2 4 -2 -1 -4",384,1,128
2747,"1 2 3 4 -2 -3 2 -4 -2 3 -1 -3",384,1,64
2748,"1 2 3 4 -3 2 4 -2 -4 -2 -1 -4",384,1,0
2749,"1 2 3 4 -2 -3 -4 -1 4 -3 -4 3",384,1,-64
2750,"1 2 3 4 -3 -4 -1 -2 4 -3 -4 3",192,1,0
2751,"1 2 3 4 2 -3 -2 4 -2 -4 -1 -4",384,1,-64
2752,"1 2 3 4 4 -2 3 -4 -3 -4 -1 -3",384,1,-128
2753,"1 2 3 4 -1 -3 -2 4 3 -4 -4 -3",384,1,0
2754,"1 2 3 4 2 -1 -4 -3 4 -2 -4 -2",384,1,-64
2755,"1 2 3 4 -1 -4 -4 -3 -3 4 -2 3",384,1,-128
2756,"1 2 3 4 -3 4 2 -1 -2 -2 -4 -4",384,1,-128
2757,"1 2 3 4 -3 4 -2 -1 2 -4 -4 -2",384,1,-128
2758,"1 2 3 3 -1 4 4 -3 -3 -2 -4 -4",192,1,-512
2759,"1 2 3 4 -3 -1 4 -2 -4 3 -4 -3",384,1,-64
2760,"1 2 3 4 -2 -4 -3 4 -2 -4 -1 2",384,1,64
2761,"1 2 3 4 -3 -1 -2 -3 4 3 -4 -4",384,1,0
2762,"1 2 3 -2 4 -3 -1 -3 4 3 -4 -4",384,1,128
2763,"1 2 3 4 -3 -1 -3 -4 -2 -4 3 4",192,1,-64
2764,"1 2 3 -2 4 -1 2 -4 -4 -3 4 -2",384,1,-128
2765,"1 2 3 4 -2 4 -1 2 -4 -3 -4 -2",384,1,-64
2766,"1 2 3 4 3 -2 4 -3 -4 -4 -1 -3",384,1,0
2767,"1 2 3 4 4 -3 -4 -1 -3 -4 -2 3",384,1,0
2768,"1 2 3 4 -3 -4 -4 -2 3 4 -1 -3",384,1,128
2769,"1 2 3 4 2 -4 -3 4 -2 -1 -4 -2",384,1,-64
2770,"1 2 3 4 -2 -3 4 3 -1 -4 -3 -4",384,1,64
2771,"1 2 3 4 2 -1 4 -3 -2 -4 -2 -4",192,1,-64
2772,"1 2 3 4 -2 -4 -4 -3 -1 -3 4 3",384,1,0
2773,"1 2 3 4 -3 2 4 -2 -2 -4 -1 -4",384,1,0
2774,"1 2 3 4 4 -1 -4 3 -2 -4 -3 -3",384,1,-128
2775,"1 2 3 4 -3 -2 -4 2 -4 -2 -1 4",192,1,128
2776,"1 2 3 4 4 -1 -4 -2 3 -4 -3 -3",384,1,-128
2777,"1 2 3 4 -3 4 2 -1 -4 -2 -4 -2",384,1,-64
2778,"1 2 3 4 -3 -2 3 4 -3 -1 -4 -4",384,1,0
2779,"1 2 3 4 -3 -1 -3 -2 -4 -4 3 4",384,1,0
2780,"1 2 3 4 -2 4 -1 2 -4 -4 -3 -2",384,1,-128
2781,"1 2 3 4 -2 -4 -3 -2 4 2 -1 -4",384,1,0
2782,"1 2 3 2 4 -3 -4 -4 -2 -1 4 -2",384,1,0
2783,"1 2 3 4 -2 -3 4 3 -1 -4 -4 -3",384,1,0
2784,"1 2 3 4 2 -1 4 -3 -2 -2 -4 -4",192,1,-128
2785,"1 2 3 4 3 4 -3 -3 -1 -4 -2 -4",384,1,-128
2786,"1 2 3 4 -2 -4 -3 4 2 -1 -4 -2",384,1,64
2787,"1 2 3 4 -2 -3 -4 2 3 -1 -2 -3",96,1,128
2788,"1 2 3 4 2 -1 -4 -3 -2 4 -2 -4",384,1,-64
2789,"1 2 3 4 -2 4 -3 2 -1 -4 -2 -4",96,1,0
2790,"1 2 3 4 -3 4 2 -1 -2 -4 -4 -2",384,1,-128
2791,"1 2 3 4 -3 4 2 -1 -4 -4 -2 -2",384,1,-128
2792,"1 2 3 4 -2 -3 -4 3 -4 -3 -1 4",384,1,64
2793,"1 2 3 4 4 -1 2 -4 -4 -2 -3 -2",384,1,-128
2794,"1 2 3 4 -1 -2 4 -3 2 -4 -2 -4",384,1,64
2795,"1 2 3 4 2 3 -4 -2 -2 -1 -3 -3",384,1,0
2796,"1 2 3 3 4 -2 -4 -2 -3 -3 -1 2",192,1,-128
2797,"1 2 3 4 3 -4 -1 -3 4 -3 -4 -2",384,1,-64
2798,"1 2 3 4 -1 4 2 -4 -4 -3 -2 -2",384,1,0
2799,"1 2 3 4 -2 3 4 -3 -3 -1 -4 -4",384,1,-128
2800,"1 2 3 4 -1 -4 -3 -2 4 3 -4 -3",384,1,64
2801,"1 2 3 4 -2 4 -1 -3 -4 3 -4 -3",384,1,-64
2802,"1 2 3 4 2 -1 -4 -3 4 -2 -2 -4",384,1,-128
2803,"1 2 3 4 -3 -4 -3 -4 3 -1 4 -2",384,1,64
2804,"1 2 3 4 -3 -4 -2 -1 -4 -2 4 2",384,1,64
2805,"1 2 3 4 3 -4 -3 -1 -4 -3 4 -2",384,1,64
2806,"1 2 3 4 4 -2 -3 -1 3 -4 -4 -3",384,1,-128
2807,"1 2 3 4 -1 -2 4 -3 2 -4 -4 -2",384,1,128
2808,"1 2 3 4 -3 4 -1 3 -4 -4 -3 -2",384,1,-128
2809,"1 2 3 4 -2 -4 3 2 -3 -2 -1 -3",384,1,0
2810,"1 2 3 4 3 -4 -3 -3 4 -1 -4 -2",384,1,128
2811,"1 2 3 4 -2 -4 -3 -1 4 -3 -4 3",384,1,-64
2812,"1 2 3 4 4 -3 -4 -2 -2 -1 -4 2",384,1,-128
2813,"1 2 3 4 2 -4 -1 -2 4 -3 -4 -2",384,1,64
2814,"1 2 3 4 2 -4 -1 4 -3 -2 -4 -2",384,1,0
2815,"1 2 3 4 -3 -3 -4 -4 3 -1 4 -2",384,1,128
2816,"1 2 3 4 4 -3 -2 -1 -2 -4 -4 2",192,1,-256
2817,"1 2 3 -2 -3 4 -1 -3 4 3 -4 -4",384,1,0
2818,"1 2 3 4 -3 -4 -2 -4 -2 4 -1 2",384,1,64
2819,"1 2 3 4 -3 -1 4 -3 -4 -4 3 -2",384,1,0
2820,"1 2 3 4 -3 -4 -2 -1 -4 -3 4 3",96,1,128
2821,"1 2 3 -1 3 4 4 -2 -4 -4 -3 -3",384,1,-256
2822,"1 2 3 4 3 -2 -4 -3 4 -3 -1 -4",384,1,64
2823,"1 2 3 4 2 -4 -2 -1 -4 -3 4 -2",192,1,64
2824,"1 2 3 4 -2 -3 -3 4 -1 -4 3 -4",384,1,0
2825,"1 2 3 4 -3 -4 -1 4 -2 -2 -4 2",384,1,0
2826,"1 2 3 4 -3 -3 -2 3 4 -1 -4 -4",384,1,-128
2827,"1 2 3 4 4 2 -3 -2 -1 -4 -4 -2",192,1,-128
2828,"1 2 3 4 -2 -1 3 4 -3 -4 -3 -4",384,1,0
2829,"1 2 3 4 3 -4 2 -3 -2 -3 -1 -2",384,1,-64
2830,"1 2 3 4 3 -2 -3 -4 -3 4 -1 -4",384,1,64
2831,"1 2 3 4 2 -4 -1 4 -3 -4 -2 -2",384,1,128
2832,"1 2 3 4 4 2 -1 -2 -3 -2 -4 -4",384,1,-128
2833,"1 2 3 4 -3 -4 -4 -2 -2 4 -1 2",384,1,128
2834,"1 2 3 4 3 -4 -4 -2 -3 4 -1 -3",384,1,0
2835,"1 2 3 4 4 -3 -2 -2 -4 -4 -1 2",384,1,-256
2836,"1 2 3 4 4 -2 -3 -4 3 -4 -1 -3",384,1,0
2837,"1 2 3 4 3 -4 -3 -3 -4 -1 4 -2",384,1,-128
2838,"1 2 3 4 -1 -2 -3 -4 2 4 -2 -4",192,1,64
2839,"1 2 3 4 4 -3 -4 -4 -2 -2 -1 2",384,1,0
2840,"1 2 3 4 -2 -1 3 4 -3 -3 -4 -4",384,1,0
2841,"1 2 2 3 4 4 -3 -4 -4 -1 -2 -2",192,1,256
2842,"1 2 3 4 3 -4 2 -3 -3 -2 -1 -2",384,1,0
2843,"1 2 3 4 -2 -3 -4 3 -1 4 -3 -4",384,1,64
2844,"1 2 3 4 4 -2 -4 -3 -4 3 -1 -3",384,1,0
2845,"1 2 3 4 4 3 -1 -4 -4 -2 -3 -3",384,1,-256
2846,"1 2 3 4 -2 4 -3 2 -4 -1 -4 -2",384,1,0
2847,"1 2 3 4 3 -2 -4 -3 -1 4 -3 -4",384,1,-64
2848,"1 2 3 4 3 4 -3 -1 -4 -4 -2 -3",384,1,0
2849,"1 2 3 4 -2 -4 -3 4 3 -4 -1 -3",384,1,64
2850,"1 2 3 4 -2 3 -4 -3 -4 -1 -3 4",384,1,-64
2851,"1 2 3 4 -3 -3 -1 4 3 -4 -2 -4",384,1,0
2852,"1 2 3 4 -1 4 2 -3 -4 -2 -4 -2",384,1,0
2853,"1 2 3 3 4 -3 -3 -4 -2 -2 -1 2",384,1,0
2854,"1 2 3 -1 4 3 4 -3 -4 -3 -2 -4",192,1,-128
2855,"1 2 3 4 2 4 -2 -4 -3 -2 -1 -4",384,1,0
2856,"1 2 3 4 -3 -2 -4 -1 -3 -4 3 4",384,1,-64
2857,"1 2 3 4 -2 4 -3 -4 2 -1 -4 -2",384,1,64
2858,"1 2 3 4 2 -1 -4 -4 -3 -2 4 -2",384,1,-128
2859,"1 2 3 4 -2 -2 -3 -4 2 -4 -1 4",384,1,128
2860,"1 2 3 -2 3 4 -3 -3 4 -1 -4 -4",384,1,-128
2861,"1 2 3 4 -3 -4 -3 -4 -1 3 -2 4",384,1,0
2862,"1 2 3 4 -2 4 -3 2 -1 -2 -4 -4",384,1,0
2863,"1 2 3 4 -2 3 -4 -1 -3 4 -3 -4",384,1,-64
2864,"1 2 3 4 -1 2 -4 -2 4 -3 -4 -2",384,1,64
2865,"1 2 3 4 -2 -1 -4 -4 -3 -2 4 2",384,1,0
2866,"1 2 3 4 -2 -4 -3 2 3 -2 -1 -3",192,1,128
2867,"1 2 3 4 -3 -2 4 3 -1 -4 -4 -3",384,1,-128
2868,"1 2 3 4 -2 3 -4 -4 -3 -1 -3 4",384,1,-128
2869,"1 2 3 4 3 -1 -3 -4 -3 -4 -2 4",384,1,-64
2870,"1 2 3 4 4 3 -1 -4 -4 -3 -3 -2",384,1,-256
2871,"1 2 3 4 3 4 -2 -4 -1 -3 -3 -4",384,1,-128
2872,"1 2 3 4 -1 4 2 -3 -4 -4 -2 -2",384,1,0
2873,"1 2 3 4 -1 3 4 -3 -2 -4 -4 -3",384,1,0
2874,"1 2 3 4 -2 -4 3 4 -1 -4 -3 -3",384,1,0
2875,"1 2 3 4 4 -3 -4 -2 -2 -4 -1 2",384,1,-128
2876,"1 2 3 -1 4 3 4 -3 -3 -4 -2 -4",384,1,-128
2877,"1 2 3 4 2 -4 -1 4 -2 -3 -2 -4",384,1,-64
2878,"1 2 3 4 2 -4 -4 -2 -3 -2 -1 4",384,1,-128
2879,"1 2 3 3 4 -3 -1 4 -3 -4 -4 -2",192,1,128
2880,"1 2 3 4 3 4 -3 -2 -1 -3 -4 -4",384,1,-128
2881,"1 2 3 4 4 3 -1 -3 -2 -3 -4 -4",384,1,-128
2882,"1 2 3 -2 4 -3 2 4 -1 -4 -4 -2",384,1,128
2883,"1 2 3 4 3 -2 4 -3 -1 -4 -3 -4",192,1,-64
2884,"1 2 3 4 -3 -4 -2 -3 -4 3 -1 4",384,1,-64
2885,"1 2 3 3 -2 4 -3 -3 4 -1 -4 -4",384,1,0
2886,"1 2 3 4 -3 -3 -4 -4 -1 3 -2 4",384,1,0
2887,"1 2 3 -2 -3 -3 4 3 -4 -4 -1 4",192,1,-128
2888,"1 2 3 4 2 -3 4 -2 -2 -1 -4 -4",384,1,-256
2889,"1 2 3 4 3 -1 -3 -3 -4 -4 -2 4",384,1,-128
2890,"1 2 3 4 -3 -3 4 -1 3 -4 -4 -2",384,1,-128
2891,"1 2 3 4 -1 -2 4 -3 -4 -3 -4 3",192,1,0
2892,"1 2 3 4 2 -4 -1 4 -3 -2 -2 -4",384,1,0
2893,"1 2 3 4 -2 -3 -4 2 4 -1 -4 -2",384,1,128
2894,"1 2 3 4 3 -2 4 -3 -1 -3 -4 -4",384,1,-128
2895,"1 2 3 4 4 -1 -2 3 -4 -4 -3 -3",384,1,-256
2896,"1 2 3 4 -3 -3 -1 3 2 -4 -2 -2",96,1,-256
2897,"1 2 3 4 4 -2 -4 3 -1 -3 -3 -4",192,1,-128
2898,"1 2 3 2 4 -2 -4 -3 -3 -2 -1 3",384,1,128
2899,"1 2 3 4 -2 4 3 -4 -3 -4 -1 -3",384,1,-64
2900,"1 2 3 4 -1 -4 3 4 -3 -4 -2 -3",384,1,64
2901,"1 2 3 3 4 -1 4 -2 -4 -4 -3 -3",384,1,-256
2902,"1 2 3 4 -2 -3 -1 2 3 -4 -3 -2",192,1,-64
2903,"1 2 3 4 -3 4 -3 -4 -4 -1 3 -2",384,1,0
2904,"1 2 3 4 -1 -2 4 -3 -3 -4 -4 3",192,1,0
2905,"1 2 3 -2 4 -3 -4 2 3 -2 -1 -3",96,1,128
2906,"1 2 3 4 4 -3 -4 -2 -1 -2 -4 2",384,1,-128
2907,"1 2 3 4 -2 -4 -3 -1 -3 -4 3 4",384,1,64
2908,"1 2 3 4 2 -3 -4 -2 -1 -4 -2 4",384,1,0
2909,"1 2 3 3 4 -3 4 -3 -1 -4 -4 -2",384,1,-128
2910,"1 2 3 4 -1 -4 -2 -3 -4 -3 4 3",384,1,-64
2911,"1 2 3 4 -2 4 3 -4 -4 -3 -1 -3",384,1,0
2912,"1 2 3 4 -2 -1 -4 2 4 -3 -2 -4",192,1,64
2913,"1 2 3 4 3 -1 -3 4 -2 -3 -4 -4",384,1,-128
2914,"1 2 3 4 4 -3 -2 -4 -4 3 -1 -3",384,1,128
2915,"1 2 3 4 2 -4 -3 -4 -1 4 -2 -2",384,1,-128
2916,"1 2 3 4 -3 4 -2 -4 -1 2 -4 -2",384,1,-64
2917,"1 2 3 4 -3 2 -4 -2 3 -1 -3 -2",192,1,128
2918,"1 2 3 4 -2 -4 -1 -3 -3 -4 3 4",384,1,0
2919,"1 2 3 4 -1 -4 2 -3 -4 -2 4 -2",384,1,-128
2920,"1 2 3 2 4 -3 -4 -2 3 -2 -1 -3",96,1,128
2921,"1 2 3 4 -1 -4 -2 -4 -3 -3 4 3",384,1,0
2922,"1 2 3 4 3 -4 -1 -4 -3 4 -2 -3",384,1,64
2923,"1 2 3 4 -2 -3 -3 -4 3 -2 -1 2",384,1,0
2924,"1 2 3 4 3 -1 -4 -3 -2 4 -3 -4",384,1,0
2925,"1 2 3 4 -2 4 -3 -4 -4 -2 -1 2",384,1,0
2926,"1 2 3 4 -2 -2 -1 2 3 -4 -3 -3",192,1,-128
2927,"1 2 3 4 -1 -3 4 3 -2 -4 -3 -4",384,1,0
2928,"1 2 3 4 -2 4 -1 -4 2 -3 -4 -2",384,1,-128
2929,"1 2 3 4 3 -2 -4 -4 -3 4 -1 -3",384,1,0
2930,"1 2 3 4 -2 -3 -4 -1 -4 3 4 -3",384,1,64
2931,"1 2 3 4 -1 3 -4 -3 -2 4 -3 -4",384,1,0
2932,"1 2 3 4 2 -4 -3 -4 -2 4 -1 -2",384,1,64
2933,"1 2 3 4 -2 -2 -4 -3 4 -1 -4 2",384,1,0
2934,"1 2 3 2 4 -3 -4 -2 -2 3 -1 -3",384,1,128
2935,"1 2 3 4 3 4 -3 -1 -2 -4 -4 -3",384,1,-128
2936,"1 2 3 4 -2 4 -1 -4 -3 -3 -4 3",384,1,0
2937,"1 2 3 4 3 4 -1 -3 -2 -4 -4 -3",384,1,-128
2938,"1 2 3 4 -3 -1 4 3 -2 -4 -4 -3",384,1,-128
2939,"1 2 3 4 4 -3 2 -1 -2 -4 -4 -2",192,1,0
2940,"1 2 3 4 -1 3 -4 -2 -4 -3 4 -3",384,1,-64
2941,"1 2 3 4 2 4 -3 -4 -2 -4 -1 -2",384,1,64
2942,"1 2 3 4 -1 -4 -3 4 3 -4 -2 -3",384,1,64
2943,"1 2 3 4 3 -4 -1 -2 4 -3 -4 -3",192,1,-128
2944,"1 2 3 4 -1 -3 4 3 -2 -4 -4 -3",384,1,0
2945,"1 2 3 -2 4 -1 2 4 -3 -4 -4 -2",384,1,-128
2946,"1 2 3 4 -3 2 4 -1 -2 -4 -4 -2",384,1,0
2947,"1 2 3 4 -2 -3 -1 -4 -4 3 4 -3",384,1,128
2948,"1 2 3 4 4 -1 -4 -2 -4 -2 -3 2",384,1,0
2949,"1 2 3 4 2 -4 -4 -3 -2 4 -1 -2",384,1,0
2950,"1 2 3 4 3 -4 2 -3 -3 -1 -2 -2",384,1,-128
2951,"1 2 3 4 4 -1 -3 -4 -3 -4 -2 3",384,1,-128
2952,"1 2 3 4 4 -2 3 -4 -3 -3 -1 -4",384,1,128
2953,"1 2 3 4 -1 -3 -2 4 -3 -4 3 -4",384,1,0
2954,"1 2 3 4 -3 -4 -1 -4 3 4 -3 -2",192,1,0
2955,"1 2 3 4 2 -1 4 -2 -4 -3 -4 -2",384,1,-64
2956,"1 2 3 4 2 4 -3 -2 -2 -4 -1 -4",384,1,-128
2957,"1 2 3 4 2 -4 -2 -3 -2 -4 -1 4",384,1,-64
2958,"1 2 3 4 3 -1 -4 -2 4 -3 -3 -4",384,1,0
2959,"1 2 3 4 2 -3 -4 -2 -4 -1 -2 4",384,1,0
2960,"1 2 3 2 4 4 -3 -4 -2 -4 -1 -2",384,1,0
2961,"1 2 3 4 3 -4 -4 -1 -3 -3 -2 4",384,1,-256
2962,"1 2 3 4 4 -1 -4 3 -2 -3 -3 -4",192,1,128
2963,"1 2 3 -1 3 -2 -3 4 4 -3 -4 -4",384,1,-128
2964,"1 2 3 4 -1 -3 -2 4 -3 -4 -4 3",384,1,0
2965,"1 2 3 4 -2 4 -2 -3 -4 2 -1 -4",384,1,0
2966,"1 2 3 4 3 -4 -3 -4 -2 -3 -1 4",384,1,-64
2967,"1 2 3 4 -3 -1 -4 -4 3 4 -3 -2",384,1,128
2968,"1 2 3 4 2 -1 4 -2 -4 -4 -3 -2",384,1,-128
2969,"1 2 3 4 2 -4 -2 -2 -3 -4 -1 4",384,1,-128
2970,"1 2 3 4 -1 -3 4 -3 -4 3 -2 -4",384,1,0
2971,"1 2 3 4 -3 4 3 -2 -4 -4 -1 -3",384,1,-128
2972,"1 2 3 4 2 -3 -4 -4 -2 -1 -2 4",384,1,0
2973,"1 2 3 4 3 -1 -3 4 -3 -4 -2 -4",384,1,-64
2974,"1 2 3 4 -2 4 -2 -1 -4 -4 -3 2",384,1,-128
2975,"1 2 3 4 -3 -1 3 -4 -3 -4 -2 4",384,1,-64
